                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.75004,                0.60968,                  1.071,                0.83578,                0.78722,                0.83307,                 0.6378,                0.76581,                0.54948,                 1.0568,               0.008845,               0.008845,               0.008845
                     37,                  0.743,                0.60887,                 1.0718,                0.82508,                0.79795,                0.83485,                0.63577,                0.76722,                0.52861,                 1.0579,               0.008812,               0.008812,               0.008812
                     38,                0.74389,                0.61072,                 1.0735,                0.83233,                0.78353,                0.82857,                0.63484,                0.73842,                0.55277,                 1.0457,               0.008779,               0.008779,               0.008779
                     39,                0.73945,                0.59417,                 1.0651,                0.83415,                 0.7897,                0.82785,                0.63495,                0.76268,                0.54918,                 1.0572,               0.008746,               0.008746,               0.008746
                     40,                0.73194,                0.58764,                 1.0636,                0.82119,                0.80927,                0.83894,                0.64102,                0.75149,                0.52995,                 1.0508,               0.008713,               0.008713,               0.008713
                     41,                0.72844,                0.58905,                 1.0589,                0.82647,                0.80317,                0.82918,                0.63969,                0.75206,                0.54915,                 1.0505,                0.00868,                0.00868,                0.00868
                     42,                0.72048,                0.57508,                 1.0555,                0.81921,                0.80155,                0.83026,                0.64161,                0.74347,                0.53126,                 1.0483,               0.008647,               0.008647,               0.008647
                     43,                0.72674,                0.58685,                 1.0619,                0.84063,                0.78285,                0.83059,                0.63804,                0.73263,                0.52577,                 1.0502,               0.008614,               0.008614,               0.008614
                     44,                0.70862,                0.56839,                 1.0488,                0.85288,                0.82328,                0.86069,                0.65894,                0.74396,                0.50633,                 1.0403,               0.008581,               0.008581,               0.008581
                     45,                0.71259,                 0.5562,                 1.0517,                0.83586,                0.78276,                 0.8282,                 0.6453,                0.73192,                0.52025,                 1.0445,               0.008548,               0.008548,               0.008548
                     46,                0.71655,                 0.5841,                 1.0595,                0.83441,                0.80202,                0.84512,                0.64602,                0.72886,                0.52229,                 1.0433,               0.008515,               0.008515,               0.008515
                     47,                0.70596,                  0.555,                 1.0499,                0.83366,                0.81478,                0.84387,                0.64142,                0.74768,                0.51766,                 1.0534,               0.008482,               0.008482,               0.008482
                     48,                0.69519,                 0.5513,                 1.0404,                0.85011,                0.80722,                0.84302,                0.65384,                0.71772,                0.51603,                 1.0343,               0.008449,               0.008449,               0.008449
                     49,                0.69723,                0.55491,                 1.0468,                0.82267,                0.81113,                0.84006,                0.65182,                0.73854,                0.50839,                 1.0367,               0.008416,               0.008416,               0.008416
                     50,                0.69497,                0.54421,                 1.0418,                0.85442,                0.79621,                0.84624,                0.65607,                0.71209,                0.49855,                 1.0316,               0.008383,               0.008383,               0.008383
                     51,                0.70251,                 0.5501,                 1.0506,                 0.8425,                 0.8074,                0.84767,                0.65523,                 0.7123,                0.50135,                 1.0239,                0.00835,                0.00835,                0.00835
                     52,                0.68794,                0.53574,                   1.04,                0.82989,                0.80996,                0.84796,                0.65875,                0.72082,                0.49339,                 1.0255,               0.008317,               0.008317,               0.008317
                     53,                 0.6912,                0.53734,                 1.0409,                0.85069,                0.80994,                0.84578,                0.65681,                0.70291,                0.49526,                 1.0161,               0.008284,               0.008284,               0.008284
                     54,                0.68685,                0.53472,                 1.0442,                0.81575,                0.81705,                0.83897,                0.65614,                0.70948,                0.49424,                 1.0221,               0.008251,               0.008251,               0.008251
                     55,                 0.6802,                0.52618,                 1.0305,                0.84355,                0.81745,                0.85077,                0.65905,                0.72085,                0.48977,                 1.0377,               0.008218,               0.008218,               0.008218
                     56,                 0.6797,                0.52176,                 1.0359,                0.85172,                0.81893,                0.85472,                0.66738,                0.71231,                0.48986,                 1.0247,               0.008185,               0.008185,               0.008185
                     57,                0.67725,                0.52826,                 1.0378,                0.85556,                0.80126,                 0.8522,                0.67311,                0.69905,                0.48433,                 1.0244,               0.008152,               0.008152,               0.008152
                     58,                0.68281,                0.52308,                 1.0363,                0.83633,                0.81452,                0.85655,                0.67026,                0.70795,                 0.4787,                 1.0248,               0.008119,               0.008119,               0.008119
                     59,                0.66807,                0.51603,                 1.0261,                0.84441,                0.81773,                0.85069,                0.67257,                0.70093,                0.47923,                 1.0177,               0.008086,               0.008086,               0.008086
                     60,                0.65934,                0.50139,                  1.018,                0.81896,                0.82404,                0.85054,                0.66976,                0.71226,                0.47948,                 1.0238,               0.008053,               0.008053,               0.008053
                     61,                0.66319,                0.50859,                 1.0206,                0.84498,                0.84053,                0.85824,                0.67137,                0.69819,                0.46623,                 1.0084,                0.00802,                0.00802,                0.00802
                     62,                0.66371,                0.50621,                 1.0212,                0.86362,                0.81189,                0.86348,                0.67661,                0.70454,                 0.4694,                 1.0161,               0.007987,               0.007987,               0.007987
                     63,                0.65262,                0.49575,                 1.0159,                 0.8532,                0.81636,                0.85913,                0.66794,                0.69696,                0.46342,                 1.0179,               0.007954,               0.007954,               0.007954
                     64,                0.65784,                0.50116,                 1.0151,                0.86371,                0.81544,                0.85704,                0.67357,                0.68386,                0.49506,                 1.0094,               0.007921,               0.007921,               0.007921
                     65,                0.65161,                0.50385,                 1.0195,                0.83173,                0.83884,                 0.8495,                0.66523,                0.70529,                0.48589,                 1.0235,               0.007888,               0.007888,               0.007888
                     66,                0.64987,                0.49185,                 1.0155,                0.84359,                0.82218,                0.85744,                0.67325,                0.69612,                0.46236,                 1.0126,               0.007855,               0.007855,               0.007855
                     67,                0.64911,                0.48955,                 1.0178,                0.86721,                0.81165,                0.85739,                0.67667,                0.69541,                0.47553,                 1.0155,               0.007822,               0.007822,               0.007822
                     68,                0.64659,                 0.4844,                 1.0146,                0.86809,                0.81489,                0.86058,                0.67953,                0.69857,                0.47888,                 1.0164,               0.007789,               0.007789,               0.007789
                     69,                0.63644,                0.48213,                 1.0077,                0.87048,                0.83331,                0.85686,                0.68194,                0.68465,                0.47156,                 1.0086,               0.007756,               0.007756,               0.007756
