                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4783,                 1.3791,                 1.6855,                0.44987,                0.69976,                0.65392,                0.45391,                 1.3862,                 1.3655,                 1.5382,               0.008911,               0.008911,               0.008911
                     35,                 1.3949,                 1.3144,                 1.6444,                0.48762,                0.66863,                 0.6825,                0.46699,                 1.4513,                 1.3591,                 1.5481,               0.008878,               0.008878,               0.008878
                     36,                 1.3592,                 1.3103,                 1.5776,                0.50746,                0.69643,                0.66237,                0.43472,                 1.3965,                 1.3201,                 1.5468,               0.008845,               0.008845,               0.008845
                     37,                 1.3835,                 1.3158,                 1.5776,                0.47451,                0.65573,                 0.6263,                0.42626,                 1.3378,                 1.3993,                 1.5337,               0.008812,               0.008812,               0.008812
                     38,                 1.3486,                 1.2744,                 1.5707,                 0.4832,                0.66918,                0.65606,                0.44172,                 1.3697,                 1.3396,                 1.5243,               0.008779,               0.008779,               0.008779
                     39,                  1.374,                 1.2971,                 1.6191,                0.57069,                0.65291,                0.67207,                 0.4511,                 1.3414,                 1.3547,                 1.4722,               0.008746,               0.008746,               0.008746
                     40,                 1.3694,                 1.2751,                    1.6,                0.52912,                 0.6641,                0.65161,                0.43366,                 1.4043,                 1.4056,                  1.546,               0.008713,               0.008713,               0.008713
                     41,                 1.2896,                 1.2495,                 1.5123,                0.49087,                0.67008,                0.67966,                0.47912,                 1.3183,                 1.4577,                 1.4912,                0.00868,                0.00868,                0.00868
                     42,                 1.3038,                  1.224,                 1.5161,                0.57759,                 0.6421,                0.68064,                0.43968,                 1.3716,                 1.4433,                  1.524,               0.008647,               0.008647,               0.008647
                     43,                 1.3283,                  1.217,                 1.5473,                0.49729,                0.67199,                0.65447,                0.44307,                 1.2807,                 1.3388,                 1.4526,               0.008614,               0.008614,               0.008614
                     44,                 1.3107,                 1.2442,                 1.5745,                0.48861,                 0.7038,                0.67287,                0.45999,                 1.2617,                 1.2913,                 1.4393,               0.008581,               0.008581,               0.008581
                     45,                 1.2864,                   1.17,                 1.4984,                0.57038,                0.68449,                0.68843,                0.48748,                 1.4046,                 1.4004,                 1.5698,               0.008548,               0.008548,               0.008548
                     46,                 1.3148,                 1.1806,                 1.5606,                0.47951,                0.71434,                 0.6684,                0.46331,                 1.3014,                 1.3219,                  1.444,               0.008515,               0.008515,               0.008515
                     47,                 1.3515,                 1.2302,                 1.6051,                0.57288,                0.68288,                 0.7031,                0.48562,                 1.3246,                 1.2804,                 1.4507,               0.008482,               0.008482,               0.008482
                     48,                 1.3397,                 1.2131,                 1.5667,                0.60528,                0.72741,                0.73993,                0.51641,                  1.399,                 1.2022,                 1.5375,               0.008449,               0.008449,               0.008449
                     49,                 1.3478,                 1.2327,                 1.6463,                0.58083,                0.66652,                0.71777,                0.51194,                 1.2396,                 1.3002,                 1.3904,               0.008416,               0.008416,               0.008416
                     50,                 1.3138,                 1.1719,                 1.5844,                0.54932,                0.71096,                0.69883,                0.48354,                 1.3741,                 1.4143,                  1.558,               0.008383,               0.008383,               0.008383
                     51,                 1.2414,                  1.107,                  1.469,                 0.5267,                0.69487,                0.69145,                0.47677,                 1.2899,                 1.3134,                 1.4648,                0.00835,                0.00835,                0.00835
                     52,                  1.325,                 1.1957,                 1.5788,                0.51539,                0.66338,                0.66268,                0.43504,                 1.3834,                 1.3532,                 1.5263,               0.008317,               0.008317,               0.008317
                     53,                  1.312,                 1.1682,                 1.5957,                0.55599,                0.69814,                0.70048,                0.48328,                 1.2868,                 1.3052,                 1.4387,               0.008284,               0.008284,               0.008284
                     54,                  1.295,                 1.1295,                 1.6007,                0.58133,                0.70656,                0.72943,                0.49617,                 1.3922,                 1.2233,                 1.5886,               0.008251,               0.008251,               0.008251
