                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0126,                0.82654,                 1.4405,                0.83586,                0.77573,                0.82578,                0.61934,                 1.1054,                0.80228,                 1.4793,               0.008878,               0.008878,               0.008878
                     36,                 1.0299,                0.82514,                 1.4493,                0.80954,                0.80497,                0.83075,                0.63427,                 1.0688,                0.74453,                 1.4343,               0.008845,               0.008845,               0.008845
                     37,                 1.0149,                0.83994,                 1.4487,                0.82529,                0.77448,                0.83412,                0.63459,                 1.0552,                0.75817,                 1.4318,               0.008812,               0.008812,               0.008812
                     38,                 1.0143,                0.82763,                 1.4438,                0.80665,                0.79041,                0.83144,                0.63467,                 1.0356,                0.73713,                 1.4123,               0.008779,               0.008779,               0.008779
                     39,                0.99994,                0.80679,                 1.4241,                0.81279,                0.80079,                0.83478,                0.63157,                 1.0675,                0.74142,                 1.4406,               0.008746,               0.008746,               0.008746
                     40,                0.98775,                0.78554,                  1.422,                0.80179,                0.81405,                0.83421,                0.63611,                  1.049,                0.75301,                 1.4326,               0.008713,               0.008713,               0.008713
                     41,                0.99098,                0.79613,                 1.4264,                0.77507,                0.81497,                0.83656,                 0.6356,                 1.0723,                0.73749,                 1.4392,                0.00868,                0.00868,                0.00868
                     42,                0.99041,                0.79101,                 1.4304,                0.81546,                0.80027,                 0.8294,                0.63645,                 1.0365,                0.76004,                 1.4253,               0.008647,               0.008647,               0.008647
                     43,                 0.9911,                0.78521,                 1.4267,                0.82983,                0.81506,                0.84811,                0.63991,                 1.0505,                0.71272,                 1.4165,               0.008614,               0.008614,               0.008614
                     44,                0.96274,                0.75912,                 1.4134,                0.84049,                0.81705,                0.85057,                0.65268,                  1.068,                0.70058,                 1.4265,               0.008581,               0.008581,               0.008581
                     45,                0.96733,                0.75578,                 1.4182,                0.83768,                0.81169,                0.84638,                0.65343,                  1.022,                0.68619,                 1.4056,               0.008548,               0.008548,               0.008548
