                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4429,                 1.5085,                 1.6307,                0.47985,                0.64262,                0.63752,                0.42508,                 1.4318,                 1.4183,                 1.6563,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.4163,                 1.4586,                 1.6437,                0.45737,                0.70825,                0.66094,                0.42871,                 1.4238,                 1.4008,                 1.6218,               0.008317,               0.008317,               0.008317
                     36,                 1.4148,                 1.4625,                 1.6583,                0.47753,                0.66201,                0.65054,                 0.4002,                 1.4855,                 1.5069,                 1.6909,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.4348,                 1.5137,                 1.7072,                0.44144,                0.68226,                0.61966,                0.40875,                 1.3979,                 1.3984,                 1.6516,               0.008218,               0.008218,               0.008218
                     38,                 1.4314,                 1.5171,                 1.6642,                0.42575,                0.64554,                0.61957,                0.43497,                 1.3531,                 1.4373,                  1.634,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.4202,                 1.4398,                 1.6666,                0.46011,                0.70817,                0.65121,                0.44768,                   1.45,                 1.3702,                 1.6816,               0.008119,               0.008119,               0.008119
                     40,                 1.4518,                 1.4537,                 1.7209,                 0.5112,                0.66906,                0.63028,                0.44073,                 1.4429,                 1.3672,                 1.7196,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.4912,                  1.466,                 1.7759,                0.49551,                0.64127,                0.68031,                0.44164,                 1.5255,                  1.375,                 1.7684,                0.00802,                0.00802,                0.00802
                     42,                   1.44,                 1.3879,                 1.6859,                0.45178,                0.64504,                0.63626,                0.45212,                 1.3734,                 1.3852,                 1.5947,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.3956,                 1.3855,                 1.6234,                0.53835,                0.67216,                0.63064,                0.42256,                 1.4812,                 1.4999,                 1.6857,               0.007921,               0.007921,               0.007921
                     44,                 1.4167,                 1.4038,                 1.6894,                0.53591,                0.66661,                 0.6753,                0.46881,                 1.4061,                 1.2667,                 1.6458,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.3999,                 1.3763,                 1.6304,                0.50044,                0.64723,                 0.6509,                0.45164,                 1.3928,                 1.4166,                 1.5981,               0.007822,               0.007822,               0.007822
                     46,                 1.4476,                 1.3779,                 1.7253,                0.52279,                 0.7135,                0.69448,                0.47438,                 1.4277,                 1.2993,                 1.6462,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.4607,                 1.4274,                 1.7314,                0.52583,                0.67809,                0.67007,                 0.4574,                 1.4857,                 1.3501,                 1.6784,               0.007723,               0.007723,               0.007723
                     48,                 1.4163,                 1.2915,                 1.6981,                0.52287,                0.65019,                0.66551,                0.47065,                 1.3762,                 1.3296,                  1.615,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.3818,                 1.3376,                 1.6642,                0.49259,                0.67958,                0.63758,                0.45781,                 1.4089,                 1.3378,                 1.6328,               0.007624,               0.007624,               0.007624
                     50,                 1.3944,                 1.3319,                 1.6549,                0.46463,                0.71576,                0.66691,                0.44923,                 1.3408,                  1.287,                 1.5825,              0.0075745,              0.0075745,              0.0075745
                     51,                  1.333,                 1.2823,                 1.5992,                0.58275,                0.62794,                0.65566,                0.45562,                 1.4799,                 1.3761,                  1.763,               0.007525,               0.007525,               0.007525
