                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.84051,                0.71441,                 1.0264,                0.66389,                0.67374,                0.68422,                0.48674,                0.85821,                0.67748,                 1.0508,               0.008317,               0.008317,               0.008317
                     36,                0.84661,                0.73053,                 1.0356,                0.72417,                0.65497,                 0.7202,                0.50345,                0.88469,                0.69423,                 1.0625,              0.0082675,              0.0082675,              0.0082675
                     37,                0.83965,                0.73941,                 1.0412,                0.67864,                0.67204,                0.71167,                0.48343,                0.87567,                0.67804,                 1.0779,               0.008218,               0.008218,               0.008218
                     38,                0.83533,                0.72321,                 1.0336,                0.69519,                0.68978,                0.72152,                0.52344,                0.86934,                0.66862,                 1.0575,              0.0081685,              0.0081685,              0.0081685
                     39,                 0.8381,                0.70111,                 1.0332,                0.61488,                 0.7697,                0.73056,                0.52282,                0.85809,                0.68154,                 1.0404,               0.008119,               0.008119,               0.008119
                     40,                0.84112,                0.71898,                 1.0367,                 0.6231,                0.73857,                0.68614,                0.49813,                0.87727,                0.67374,                 1.0582,              0.0080695,              0.0080695,              0.0080695
                     41,                0.84823,                0.72786,                 1.0444,                  0.592,                0.70231,                0.70623,                 0.4945,                0.86549,                0.67601,                 1.0503,                0.00802,                0.00802,                0.00802
                     42,                0.82686,                0.69411,                 1.0353,                0.68007,                0.70232,                0.73435,                0.52792,                0.87039,                0.66619,                 1.0525,              0.0079705,              0.0079705,              0.0079705
                     43,                0.83964,                0.70083,                 1.0422,                0.73921,                0.72915,                0.73374,                0.51992,                0.86454,                0.68047,                 1.0553,               0.007921,               0.007921,               0.007921
                     44,                 0.8287,                0.71577,                 1.0359,                0.65765,                0.76019,                0.74647,                0.53556,                0.86302,                0.67178,                 1.0501,              0.0078715,              0.0078715,              0.0078715
                     45,                0.82599,                0.69332,                 1.0235,                0.67143,                 0.7561,                 0.7484,                0.51818,                0.86056,                0.65705,                 1.0524,               0.007822,               0.007822,               0.007822
                     46,                0.81813,                0.68091,                 1.0236,                0.72594,                0.69181,                0.73441,                0.51277,                0.86715,                0.67778,                 1.0572,              0.0077725,              0.0077725,              0.0077725
                     47,                0.83557,                0.70237,                 1.0317,                0.70298,                0.69114,                0.70856,                0.52335,                0.85699,                0.67253,                 1.0497,               0.007723,               0.007723,               0.007723
                     48,                 0.8125,                0.66436,                 1.0256,                0.71571,                0.72842,                0.72203,                0.50963,                0.86484,                 0.6561,                 1.0537,              0.0076735,              0.0076735,              0.0076735
                     49,                0.80293,                0.65997,                 1.0176,                0.67695,                0.68158,                0.69274,                0.49439,                0.86003,                0.66731,                 1.0528,               0.007624,               0.007624,               0.007624
                     50,                0.81371,                0.67831,                 1.0235,                0.74954,                0.68228,                 0.7379,                0.52182,                 0.8569,                0.67154,                 1.0534,              0.0075745,              0.0075745,              0.0075745
                     51,                0.80833,                0.67394,                 1.0238,                0.68576,                0.68425,                0.71354,                0.48438,                0.85903,                0.69602,                 1.0543,               0.007525,               0.007525,               0.007525
                     52,                0.79942,                0.65606,                 1.0133,                0.68493,                0.70661,                0.71022,                0.49336,                0.83446,                0.68307,                 1.0375,              0.0074755,              0.0074755,              0.0074755
